match_id,volunteer_id,task_id,skill_match_ratio,willingness_score,availability_hours,distance_km,distance_score,fairness_score,urgency_level,urgency_score,time_compatibility,volunteer_reliability,reliability_score,task_difficulty,ngo_reputation,volunteer_aicte_points,volunteer_aicte_norm,task_points_opportunity,task_points_possible,task_points_norm,match_score,match_success
M00522,V0110,T0095,0.0,0.73,20,20.89,0.582,0.4,2,0.4,1.0,0.69,0.69,1,4.0,21.8,0.022,5.0,5.0,0.025,0.394,0
M00523,V0117,T0236,0.333,0.62,40,27.42,0.452,0.28,1,0.2,1.0,0.66,0.66,4,4.5,68.8,0.069,8.0,8.0,0.04,0.445,0
M00524,V0102,T0133,0.0,0.84,25,20.93,0.581,0.16,2,0.4,1.0,0.57,0.57,2,3.8,168.4,0.168,32.0,32.0,0.16,0.376,0
M00525,V0383,T0012,0.0,0.41,20,31.59,0.368,0.38,4,0.8,1.0,0.94,0.94,1,4.2,271.8,0.272,32.0,32.0,0.16,0.346,0
M00526,V0329,T0211,0.0,0.46,30,5.6,0.888,0.68,3,0.6,1.0,0.97,0.97,2,3.5,180.5,0.18,30.0,30.0,0.15,0.474,0
M00527,V0413,T0250,1.0,0.75,30,21.1,0.578,0.82,5,1.0,1.0,0.93,0.93,3,3.9,365.1,0.365,4.0,4.0,0.02,0.898,1
M00528,V0426,T0271,0.0,0.77,5,16.65,0.667,0.44,3,0.6,1.0,0.54,0.54,3,4.8,357.7,0.358,6.0,6.0,0.03,0.393,0
M00529,V0263,T0192,0.0,0.56,25,29.29,0.414,0.84,1,0.2,1.0,0.76,0.76,3,4.9,209.4,0.209,6.0,6.0,0.03,0.335,0
M00530,V0224,T0017,0.0,0.54,10,6.01,0.88,0.7,2,0.4,1.0,0.91,0.91,4,4.0,328.4,0.328,15.0,15.0,0.075,0.508,0
M00531,V0448,T0168,0.5,0.42,20,13.64,0.727,0.66,4,0.8,1.0,0.79,0.79,2,3.8,349.0,0.349,12.0,12.0,0.06,0.654,1
M00532,V0252,T0145,0.0,0.92,15,18.56,0.629,0.1,2,0.4,1.0,0.59,0.59,1,3.6,476.1,0.476,8.0,8.0,0.04,0.407,0
M00533,V0325,T0035,0.5,0.47,25,31.91,0.362,0.6,5,1.0,1.0,0.61,0.61,3,4.2,344.6,0.345,5.0,5.0,0.025,0.605,0
M00534,V0290,T0048,0.25,0.83,5,23.29,0.534,0.92,3,0.6,0.5,0.78,0.78,5,4.9,27.1,0.027,30.0,30.0,0.15,0.587,0
M00535,V0400,T0058,0.25,0.72,5,17.41,0.652,0.98,3,0.6,0.5,0.55,0.55,2,4.5,235.4,0.235,30.0,30.0,0.15,0.532,0
M00536,V0409,T0263,0.333,0.4,25,42.72,0.146,0.56,2,0.4,1.0,0.52,0.52,3,3.5,54.8,0.055,8.0,8.0,0.04,0.455,0
M00537,V0045,T0294,0.333,0.56,40,41.3,0.174,0.9,5,1.0,1.0,0.88,0.88,4,4.7,139.5,0.14,20.0,20.0,0.1,0.604,0
M00538,V0313,T0098,1.0,0.69,15,5.92,0.882,0.56,5,1.0,1.0,0.57,0.57,3,3.6,387.1,0.387,16.0,16.0,0.08,0.888,1
M00539,V0393,T0221,0.0,0.72,10,17.26,0.655,0.14,3,0.6,1.0,0.9,0.9,5,4.9,165.9,0.166,5.0,5.0,0.025,0.453,0
M00540,V0239,T0232,0.0,0.94,40,23.17,0.537,0.14,2,0.4,1.0,0.97,0.97,4,4.5,491.4,0.491,60.0,60.0,0.3,0.463,0
M00541,V0379,T0078,0.0,0.9,20,28.02,0.44,0.1,2,0.4,1.0,0.79,0.79,1,4.6,250.3,0.25,16.0,16.0,0.08,0.402,0
M00542,V0038,T0094,0.25,0.63,40,14.09,0.718,0.32,3,0.6,1.0,0.8,0.8,2,4.2,373.8,0.374,16.0,16.0,0.08,0.529,0
M00543,V0174,T0233,0.333,0.69,5,31.77,0.365,0.68,1,0.2,0.5,0.75,0.75,2,3.6,472.1,0.472,40.0,40.0,0.2,0.449,0
M00544,V0355,T0222,0.5,0.49,25,27.43,0.451,0.56,5,1.0,1.0,1.0,1.0,2,4.2,451.2,0.451,16.0,16.0,0.08,0.652,0
M00545,V0206,T0295,0.0,0.67,25,13.61,0.728,0.62,4,0.8,1.0,0.59,0.59,2,3.5,333.0,0.333,40.0,40.0,0.2,0.461,0
M00546,V0320,T0200,0.0,0.75,5,24.28,0.514,0.86,4,0.8,1.0,0.89,0.89,2,3.8,128.9,0.129,8.0,8.0,0.04,0.45,0
M00547,V0116,T0166,0.0,0.5,5,11.5,0.77,0.24,2,0.4,1.0,0.56,0.56,5,4.2,339.0,0.339,8.0,8.0,0.04,0.367,0
M00548,V0133,T0115,0.0,0.62,30,31.3,0.374,0.48,3,0.6,1.0,0.86,0.86,3,4.7,291.9,0.292,30.0,30.0,0.15,0.407,0
M00549,V0394,T0168,0.5,0.91,25,14.12,0.718,0.52,4,0.8,1.0,0.89,0.89,2,3.8,93.7,0.094,12.0,12.0,0.06,0.699,1
M00550,V0335,T0103,0.0,0.95,40,16.79,0.664,0.42,4,0.8,1.0,0.64,0.64,2,4.0,487.5,0.487,20.0,20.0,0.1,0.513,0
M00551,V0295,T0182,0.25,0.9,10,21.52,0.57,0.78,2,0.4,1.0,0.53,0.53,5,4.1,335.5,0.336,20.0,20.0,0.1,0.587,0
M00552,V0367,T0296,0.0,0.82,15,15.67,0.687,0.42,4,0.8,1.0,0.69,0.69,1,5.0,327.4,0.327,10.0,10.0,0.05,0.44,0
M00553,V0396,T0076,0.0,0.7,10,34.32,0.314,0.4,1,0.2,1.0,0.89,0.89,3,4.5,366.2,0.366,12.0,12.0,0.06,0.319,0
M00554,V0093,T0052,1.0,0.78,15,3.68,0.926,0.5,4,0.8,1.0,0.9,0.9,4,4.6,10.4,0.01,15.0,15.0,0.075,0.837,1
M00555,V0309,T0021,0.0,0.93,25,34.55,0.309,0.1,1,0.2,1.0,0.57,0.57,4,3.6,58.8,0.059,60.0,60.0,0.3,0.386,0
M00556,V0277,T0179,0.0,0.96,40,28.68,0.426,0.4,1,0.2,1.0,0.96,0.96,2,4.4,462.2,0.462,30.0,30.0,0.15,0.455,0
M00557,V0168,T0162,0.0,0.64,5,34.84,0.303,0.8,2,0.4,0.5,0.92,0.92,3,4.9,282.0,0.282,24.0,24.0,0.12,0.398,0
M00558,V0337,T0107,0.0,0.58,5,24.69,0.506,0.1,2,0.4,0.5,0.73,0.73,1,4.6,424.0,0.424,25.0,25.0,0.125,0.263,0
M00559,V0084,T0218,0.25,0.79,40,17.23,0.655,0.1,5,1.0,1.0,0.94,0.94,3,3.7,432.7,0.433,4.0,4.0,0.02,0.598,0
M00560,V0120,T0112,0.0,0.88,25,12.14,0.757,0.86,1,0.2,1.0,0.62,0.62,2,4.3,492.6,0.493,30.0,30.0,0.15,0.503,0
M00561,V0014,T0071,0.0,0.48,25,15.41,0.692,0.4,3,0.6,1.0,0.7,0.7,1,4.1,121.5,0.121,12.0,12.0,0.06,0.448,0
M00562,V0484,T0226,0.0,0.63,20,4.09,0.918,0.52,4,0.8,1.0,0.99,0.99,3,4.2,308.5,0.308,80.0,80.0,0.4,0.487,0
M00563,V0486,T0193,0.0,0.76,30,47.4,0.052,0.62,1,0.2,1.0,0.77,0.77,5,4.2,57.2,0.057,32.0,32.0,0.16,0.301,0
M00564,V0445,T0107,0.0,0.49,25,34.79,0.304,1.0,2,0.4,1.0,1.0,1.0,1,4.6,208.9,0.209,25.0,25.0,0.125,0.397,0
M00565,V0229,T0225,0.0,0.48,30,35.41,0.292,0.12,4,0.8,1.0,1.0,1.0,2,4.6,474.3,0.474,30.0,30.0,0.15,0.341,0
M00566,V0106,T0195,0.333,0.7,10,18.52,0.63,0.9,4,0.8,0.5,0.97,0.97,4,4.9,187.5,0.188,30.0,30.0,0.15,0.595,0
M00567,V0064,T0048,0.0,0.73,20,26.53,0.469,0.6,3,0.6,1.0,0.62,0.62,5,4.9,434.8,0.435,30.0,30.0,0.15,0.472,0
M00568,V0260,T0297,0.5,0.48,20,47.51,0.05,0.1,3,0.6,1.0,0.96,0.96,5,4.8,94.2,0.094,24.0,24.0,0.12,0.498,0
M00569,V0063,T0084,0.333,0.56,5,28.82,0.424,0.1,3,0.6,0.5,1.0,1.0,5,4.8,149.3,0.149,20.0,20.0,0.1,0.46,0
M00570,V0062,T0251,1.0,0.69,20,13.47,0.731,0.42,4,0.8,1.0,0.96,0.96,1,3.8,275.6,0.276,24.0,24.0,0.12,0.855,1
M00571,V0184,T0163,0.0,0.82,40,7.87,0.843,0.28,5,1.0,1.0,0.59,0.59,3,3.8,50.9,0.051,18.0,18.0,0.09,0.501,0
M00572,V0108,T0047,0.25,0.54,5,36.58,0.268,0.7,5,1.0,0.5,0.73,0.73,2,4.9,209.9,0.21,16.0,16.0,0.08,0.493,0
M00573,V0185,T0245,0.0,0.98,15,16.43,0.671,0.52,5,1.0,1.0,0.67,0.67,3,4.5,305.7,0.306,5.0,5.0,0.025,0.501,0
M00574,V0058,T0234,0.0,0.98,20,13.24,0.735,0.48,4,0.8,1.0,0.93,0.93,2,4.5,166.7,0.167,24.0,24.0,0.12,0.484,0
M00575,V0195,T0216,0.0,0.69,15,12.46,0.751,0.14,1,0.2,1.0,0.81,0.81,3,4.8,381.1,0.381,24.0,24.0,0.12,0.375,0
M00576,V0440,T0052,0.0,0.51,40,33.52,0.33,0.38,4,0.8,1.0,0.62,0.62,4,4.6,257.5,0.258,15.0,15.0,0.075,0.356,0
M00577,V0485,T0159,0.0,0.89,25,31.09,0.378,0.1,1,0.2,1.0,0.55,0.55,5,4.1,445.7,0.446,10.0,10.0,0.05,0.371,0
M00578,V0223,T0154,0.0,0.63,10,18.94,0.621,0.6,1,0.2,1.0,0.91,0.91,2,4.1,298.6,0.299,8.0,8.0,0.04,0.379,0
M00579,V0360,T0044,0.0,0.65,40,27.82,0.444,0.1,1,0.2,1.0,0.8,0.8,3,4.2,113.4,0.113,6.0,6.0,0.03,0.347,0
M00580,V0415,T0200,0.5,0.99,15,31.82,0.364,0.8,4,0.8,1.0,0.87,0.87,2,3.8,17.7,0.018,8.0,8.0,0.04,0.721,0
M00581,V0009,T0141,0.0,0.85,40,22.71,0.546,0.58,3,0.6,1.0,0.73,0.73,5,4.6,55.8,0.056,10.0,10.0,0.05,0.488,0
M00582,V0460,T0166,0.0,0.8,20,19.34,0.613,0.1,2,0.4,1.0,0.69,0.69,5,4.2,426.9,0.427,8.0,8.0,0.04,0.34,0
M00583,V0434,T0128,0.0,0.6,40,9.98,0.8,0.14,4,0.8,1.0,0.84,0.84,3,3.5,201.0,0.201,24.0,24.0,0.12,0.414,0
M00584,V0005,T0066,0.25,0.5,15,29.7,0.406,0.16,3,0.6,0.5,0.82,0.82,3,4.6,133.5,0.134,80.0,80.0,0.4,0.408,0
M00585,V0072,T0241,0.333,0.88,25,28.46,0.431,0.56,4,0.8,1.0,0.63,0.63,2,3.7,109.5,0.11,40.0,40.0,0.2,0.614,0
M00586,V0032,T0108,0.0,0.5,5,27.83,0.443,0.36,5,1.0,0.5,0.55,0.55,2,4.1,331.9,0.332,45.0,45.0,0.225,0.393,0
M00587,V0339,T0151,0.5,0.95,40,13.25,0.735,0.14,2,0.4,1.0,0.77,0.77,4,5.0,135.9,0.136,6.0,6.0,0.03,0.605,1
M00588,V0213,T0081,0.0,0.91,30,18.15,0.637,0.88,4,0.8,1.0,0.71,0.71,5,4.1,102.6,0.103,12.0,12.0,0.06,0.527,0
M00589,V0090,T0266,0.0,0.69,20,25.25,0.495,0.66,2,0.4,1.0,0.67,0.67,2,4.4,107.8,0.108,30.0,30.0,0.15,0.468,0
M00590,V0380,T0093,0.25,0.94,20,10.27,0.795,0.68,2,0.4,1.0,0.86,0.86,5,4.9,162.0,0.162,15.0,15.0,0.075,0.584,0
M00591,V0474,T0057,1.0,0.86,25,4.74,0.905,0.1,2,0.4,1.0,0.95,0.95,2,5.0,95.8,0.096,24.0,24.0,0.12,0.844,1
M00592,V0016,T0255,0.25,0.68,40,21.64,0.567,0.92,3,0.6,1.0,0.78,0.78,3,3.7,221.6,0.222,40.0,40.0,0.2,0.539,0
M00593,V0207,T0192,0.0,0.87,30,3.29,0.934,0.8,1,0.2,1.0,0.94,0.94,3,4.9,185.9,0.186,6.0,6.0,0.03,0.554,0
M00594,V0136,T0165,0.25,0.63,10,10.6,0.788,0.32,3,0.6,1.0,0.89,0.89,4,4.1,171.2,0.171,24.0,24.0,0.12,0.49,0
M00595,V0014,T0170,0.0,0.48,25,22.71,0.546,0.4,3,0.6,1.0,0.7,0.7,5,4.0,121.5,0.121,45.0,45.0,0.225,0.349,0
M00596,V0241,T0018,0.0,0.57,20,9.7,0.806,1.0,4,0.8,1.0,0.76,0.76,5,4.7,393.3,0.393,24.0,24.0,0.12,0.542,0
M00597,V0074,T0209,0.25,0.58,40,9.55,0.809,0.86,1,0.2,1.0,0.88,0.88,1,4.5,234.2,0.234,30.0,30.0,0.15,0.501,0
M00598,V0194,T0269,0.0,0.82,40,17.79,0.644,0.1,1,0.2,1.0,0.71,0.71,1,4.9,267.2,0.267,12.0,12.0,0.06,0.347,0
M00599,V0052,T0008,0.25,0.86,25,21.76,0.565,0.1,5,1.0,1.0,0.69,0.69,1,4.2,309.2,0.309,5.0,5.0,0.025,0.523,0
M00600,V0115,T0048,0.25,0.66,30,30.78,0.384,0.56,3,0.6,1.0,0.96,0.96,5,4.9,223.6,0.224,30.0,30.0,0.15,0.501,0
M00601,V0034,T0058,0.25,0.46,20,50.25,0.0,0.78,3,0.6,1.0,0.73,0.73,2,4.5,402.1,0.402,30.0,30.0,0.15,0.473,0
M00602,V0238,T0213,0.25,0.54,5,37.98,0.24,0.52,4,0.8,1.0,0.77,0.77,2,4.8,409.2,0.409,6.0,6.0,0.03,0.5,0
M00603,V0275,T0226,0.0,0.78,40,7.89,0.842,0.3,4,0.8,1.0,0.52,0.52,3,4.2,261.0,0.261,80.0,80.0,0.4,0.455,0
M00604,V0309,T0001,0.25,0.93,25,7.23,0.855,0.1,2,0.4,1.0,0.57,0.57,1,4.2,58.8,0.059,30.0,30.0,0.15,0.521,0
M00605,V0241,T0132,0.0,0.57,20,30.38,0.392,1.0,4,0.8,1.0,0.76,0.76,2,3.8,393.3,0.393,25.0,25.0,0.125,0.42,0
M00606,V0337,T0277,0.5,0.58,5,10.73,0.785,0.1,2,0.4,1.0,0.73,0.73,5,4.5,424.0,0.424,8.0,8.0,0.04,0.542,0
M00607,V0315,T0050,0.333,0.44,10,12.38,0.752,0.9,4,0.8,1.0,0.97,0.97,1,3.7,304.5,0.304,16.0,16.0,0.08,0.607,0
M00608,V0384,T0293,0.0,0.76,10,12.17,0.757,0.3,3,0.6,1.0,0.91,0.91,3,4.0,139.1,0.139,32.0,32.0,0.16,0.436,0
M00609,V0113,T0264,0.0,0.92,15,31.3,0.374,0.86,4,0.8,0.5,0.7,0.7,2,4.6,399.7,0.4,80.0,80.0,0.4,0.416,0
M00610,V0483,T0074,0.0,0.92,15,6.25,0.875,0.1,5,1.0,1.0,0.66,0.66,3,3.6,82.1,0.082,12.0,12.0,0.06,0.485,0
M00611,V0043,T0049,0.0,0.45,30,24.87,0.503,0.2,5,1.0,1.0,0.65,0.65,3,3.6,121.4,0.121,8.0,8.0,0.04,0.415,0
M00612,V0145,T0054,1.0,0.47,15,16.46,0.671,0.5,1,0.2,0.5,0.94,0.94,5,4.2,343.0,0.343,80.0,80.0,0.4,0.673,0
M00613,V0129,T0095,0.0,0.93,30,32.28,0.354,0.4,2,0.4,1.0,0.55,0.55,1,4.0,142.9,0.143,5.0,5.0,0.025,0.42,0
M00614,V0155,T0169,0.0,0.97,30,0.86,0.983,0.78,2,0.4,1.0,0.75,0.75,3,4.3,313.0,0.313,10.0,10.0,0.05,0.563,0
M00615,V0237,T0267,0.0,0.68,10,11.72,0.766,0.66,1,0.2,0.5,0.85,0.85,4,3.8,282.1,0.282,80.0,80.0,0.4,0.409,0
M00616,V0453,T0137,0.0,0.41,10,31.33,0.373,0.98,1,0.2,1.0,0.97,0.97,5,4.6,435.9,0.436,20.0,20.0,0.1,0.402,0
M00617,V0068,T0168,0.0,0.78,40,26.26,0.475,0.44,4,0.8,1.0,0.51,0.51,2,3.8,83.2,0.083,12.0,12.0,0.06,0.43,0
M00618,V0339,T0075,0.0,0.95,40,17.51,0.65,0.14,3,0.6,1.0,0.77,0.77,5,3.8,135.9,0.136,12.0,12.0,0.06,0.459,0
M00619,V0479,T0018,0.0,0.76,20,24.72,0.506,0.72,4,0.8,1.0,0.64,0.64,5,4.7,419.1,0.419,24.0,24.0,0.12,0.492,0
M00620,V0410,T0198,0.333,0.68,10,11.88,0.762,0.52,5,1.0,1.0,0.71,0.71,1,4.4,421.7,0.422,12.0,12.0,0.06,0.624,0
M00621,V0407,T0102,0.0,0.94,30,13.01,0.74,1.0,1,0.2,1.0,0.73,0.73,1,4.0,378.5,0.379,15.0,15.0,0.075,0.549,0
M00622,V0008,T0074,1.0,0.92,10,33.43,0.331,0.8,5,1.0,1.0,0.53,0.53,3,3.6,396.0,0.396,12.0,12.0,0.06,0.849,0
M00623,V0428,T0122,0.5,0.87,5,28.75,0.425,0.32,2,0.4,0.5,0.84,0.84,5,3.5,467.5,0.468,20.0,20.0,0.1,0.49,0
M00624,V0166,T0006,0.0,0.73,5,17.34,0.653,1.0,3,0.6,0.5,0.92,0.92,4,4.4,351.4,0.351,37.5,37.5,0.188,0.47,0
M00625,V0248,T0177,0.0,0.75,15,44.01,0.12,0.8,1,0.2,0.5,0.92,0.92,1,3.7,418.8,0.419,80.0,80.0,0.4,0.303,0
M00626,V0446,T0296,0.0,0.85,30,16.15,0.677,0.48,4,0.8,1.0,0.65,0.65,1,5.0,475.0,0.475,10.0,10.0,0.05,0.468,0
M00627,V0110,T0233,0.0,0.73,20,50.82,0.0,0.4,1,0.2,1.0,0.69,0.69,2,3.6,21.8,0.022,40.0,40.0,0.2,0.325,0
M00628,V0280,T0226,0.0,0.74,25,20.83,0.583,0.16,4,0.8,1.0,0.95,0.95,3,4.2,355.1,0.355,80.0,80.0,0.4,0.413,0
M00629,V0144,T0264,0.0,0.48,15,9.28,0.814,0.7,4,0.8,0.5,0.72,0.72,2,4.6,3.4,0.003,80.0,80.0,0.4,0.492,0
M00630,V0173,T0096,0.25,0.94,10,34.03,0.319,0.34,4,0.8,1.0,0.57,0.57,3,4.4,84.8,0.085,16.0,16.0,0.08,0.496,0
M00631,V0414,T0250,0.0,0.98,5,31.08,0.378,0.2,5,1.0,1.0,0.81,0.81,3,3.9,269.6,0.27,4.0,4.0,0.02,0.484,0
M00632,V0234,T0050,0.667,0.65,25,29.4,0.412,0.1,4,0.8,1.0,0.65,0.65,1,3.7,270.1,0.27,16.0,16.0,0.08,0.628,0
M00633,V0176,T0266,0.5,0.59,30,27.29,0.454,0.2,2,0.4,1.0,0.62,0.62,2,4.4,245.5,0.245,30.0,30.0,0.15,0.499,0
M00634,V0401,T0188,0.0,0.76,40,29.83,0.403,0.12,2,0.4,1.0,0.67,0.67,5,4.1,222.9,0.223,5.0,5.0,0.025,0.347,0
M00635,V0014,T0279,0.333,0.48,25,16.3,0.674,0.4,4,0.8,1.0,0.7,0.7,1,4.0,121.5,0.121,15.0,15.0,0.075,0.507,0
M00636,V0117,T0235,1.0,0.62,40,38.35,0.233,0.28,4,0.8,1.0,0.66,0.66,4,3.7,68.8,0.069,80.0,80.0,0.4,0.77,0
M00637,V0062,T0282,0.25,0.69,20,30.51,0.39,0.42,1,0.2,1.0,0.96,0.96,3,4.8,275.6,0.276,80.0,80.0,0.4,0.492,0
M00638,V0065,T0178,0.0,0.89,20,22.79,0.544,0.1,3,0.6,1.0,0.75,0.75,4,3.8,410.4,0.41,30.0,30.0,0.15,0.399,0
M00639,V0224,T0284,0.0,0.54,10,9.42,0.812,0.7,3,0.6,1.0,0.91,0.91,5,3.6,328.4,0.328,16.0,16.0,0.08,0.521,0
M00640,V0043,T0259,0.0,0.45,30,28.49,0.43,0.2,5,1.0,1.0,0.65,0.65,4,4.9,121.4,0.121,16.0,16.0,0.08,0.353,0
M00641,V0420,T0262,0.5,0.96,20,2.22,0.956,0.14,2,0.4,1.0,0.98,0.98,5,3.9,157.8,0.158,37.5,37.5,0.188,0.639,1
M00642,V0431,T0114,0.5,0.98,5,48.11,0.038,0.58,2,0.4,1.0,0.52,0.52,1,4.3,28.0,0.028,4.0,4.0,0.02,0.579,0
M00643,V0102,T0182,0.0,0.84,25,40.87,0.183,0.16,2,0.4,1.0,0.57,0.57,5,4.1,168.4,0.168,20.0,20.0,0.1,0.34,0
M00644,V0400,T0078,0.333,0.72,5,36.62,0.268,0.98,2,0.4,1.0,0.55,0.55,1,4.6,235.4,0.235,16.0,16.0,0.08,0.534,0
M00645,V0272,T0269,0.0,0.7,25,16.74,0.665,0.52,1,0.2,1.0,0.73,0.73,1,4.9,201.6,0.202,12.0,12.0,0.06,0.365,0
M00646,V0273,T0186,0.0,0.85,5,37.76,0.245,0.5,2,0.4,0.5,0.5,0.5,2,4.2,206.2,0.206,24.0,24.0,0.12,0.333,0
M00647,V0356,T0272,0.0,0.55,20,50.1,0.0,0.5,3,0.6,1.0,0.64,0.64,4,4.9,0.1,0.0,8.0,8.0,0.04,0.293,0
M00648,V0082,T0052,0.0,0.87,25,21.13,0.577,0.88,4,0.8,1.0,0.81,0.81,4,4.6,226.0,0.226,15.0,15.0,0.075,0.541,0
M00649,V0326,T0116,0.0,0.77,15,14.12,0.718,0.38,4,0.8,1.0,0.88,0.88,1,4.6,212.0,0.212,6.0,6.0,0.03,0.515,0
M00650,V0385,T0078,0.333,0.49,5,13.39,0.732,0.28,2,0.4,1.0,0.96,0.96,1,4.6,419.0,0.419,16.0,16.0,0.08,0.512,0
M00651,V0490,T0218,0.25,0.72,10,12.0,0.76,0.5,5,1.0,1.0,0.84,0.84,3,3.7,125.6,0.126,4.0,4.0,0.02,0.635,0
M00652,V0143,T0026,0.5,0.83,5,12.85,0.743,0.58,4,0.8,0.5,0.88,0.88,5,4.2,395.4,0.395,60.0,60.0,0.3,0.692,0
M00653,V0486,T0206,0.0,0.76,30,36.57,0.269,0.62,4,0.8,1.0,0.77,0.77,2,4.4,57.2,0.057,5.0,5.0,0.025,0.414,0
M00654,V0462,T0268,0.5,0.99,5,15.58,0.688,0.26,5,1.0,0.5,0.7,0.7,1,4.8,378.1,0.378,80.0,80.0,0.4,0.694,0
M00655,V0458,T0244,1.0,0.69,5,13.12,0.738,0.14,4,0.8,0.5,0.7,0.7,3,3.5,275.5,0.276,40.0,40.0,0.2,0.742,0
M00656,V0070,T0154,0.0,0.41,40,9.03,0.819,0.64,1,0.2,1.0,0.72,0.72,2,4.1,338.8,0.339,8.0,8.0,0.04,0.346,0
M00657,V0129,T0285,0.333,0.93,30,29.25,0.415,0.4,5,1.0,1.0,0.55,0.55,3,4.2,142.9,0.143,5.0,5.0,0.025,0.6,0
M00658,V0107,T0035,0.0,0.9,40,37.07,0.259,0.4,5,1.0,1.0,0.54,0.54,3,4.2,224.3,0.224,5.0,5.0,0.025,0.391,0
M00659,V0211,T0072,0.0,0.68,15,9.19,0.816,0.62,4,0.8,1.0,0.5,0.5,3,3.7,163.7,0.164,30.0,30.0,0.15,0.458,0
M00660,V0422,T0083,0.0,0.46,5,2.65,0.947,0.44,1,0.2,1.0,0.63,0.63,5,3.9,175.8,0.176,6.0,6.0,0.03,0.429,0
M00661,V0414,T0125,0.5,0.98,5,32.58,0.348,0.2,1,0.2,0.5,0.81,0.81,1,3.8,269.6,0.27,24.0,24.0,0.12,0.492,0
M00662,V0082,T0215,0.0,0.87,25,29.27,0.415,0.88,2,0.4,1.0,0.81,0.81,3,4.4,226.0,0.226,50.0,50.0,0.25,0.456,0
M00663,V0100,T0128,0.667,0.61,30,20.24,0.595,0.16,4,0.8,1.0,0.97,0.97,3,3.5,196.0,0.196,24.0,24.0,0.12,0.692,1
M00664,V0037,T0116,0.0,0.49,10,9.07,0.819,0.48,4,0.8,1.0,0.71,0.71,1,4.6,203.8,0.204,6.0,6.0,0.03,0.502,0
M00665,V0142,T0072,0.0,0.99,15,9.93,0.801,0.18,4,0.8,1.0,0.97,0.97,3,3.7,271.7,0.272,30.0,30.0,0.15,0.554,0
M00666,V0064,T0300,0.0,0.73,20,15.47,0.691,0.6,5,1.0,1.0,0.62,0.62,3,4.9,434.8,0.435,15.0,15.0,0.075,0.539,0
M00667,V0078,T0106,0.0,0.67,10,6.04,0.879,0.54,1,0.2,0.5,0.77,0.77,4,4.9,49.7,0.05,50.0,50.0,0.25,0.4,0
M00668,V0345,T0142,0.0,0.47,40,26.46,0.471,1.0,4,0.8,1.0,0.85,0.85,3,3.6,484.4,0.484,5.0,5.0,0.025,0.476,0
M00669,V0006,T0061,0.333,0.59,40,6.76,0.865,0.94,4,0.8,1.0,0.66,0.66,2,4.4,114.5,0.115,6.0,6.0,0.03,0.642,0
M00670,V0269,T0053,0.5,0.51,20,9.88,0.802,0.56,1,0.2,1.0,0.94,0.94,3,3.5,305.7,0.306,8.0,8.0,0.04,0.615,1
M00671,V0307,T0242,0.333,0.69,10,5.16,0.897,0.48,1,0.2,1.0,0.91,0.91,1,5.0,300.4,0.3,18.0,18.0,0.09,0.537,0
M00672,V0225,T0153,0.25,0.5,10,38.4,0.232,0.6,1,0.2,0.5,0.96,0.96,2,4.1,403.1,0.403,30.0,30.0,0.15,0.403,0
M00673,V0278,T0233,0.333,0.99,30,33.3,0.334,0.7,1,0.2,1.0,0.99,0.99,2,3.6,136.8,0.137,40.0,40.0,0.2,0.526,0
M00674,V0451,T0175,0.0,0.69,25,23.76,0.525,0.86,1,0.2,1.0,0.91,0.91,1,4.7,235.1,0.235,8.0,8.0,0.04,0.466,0
M00675,V0487,T0021,0.5,0.99,20,14.73,0.705,0.52,1,0.2,1.0,0.74,0.74,4,3.6,161.2,0.161,60.0,60.0,0.3,0.637,1
M00676,V0457,T0131,0.333,0.41,20,19.05,0.619,0.82,3,0.6,1.0,0.58,0.58,1,4.6,473.9,0.474,20.0,20.0,0.1,0.494,0
M00677,V0239,T0219,0.333,0.94,40,16.1,0.678,0.14,2,0.4,1.0,0.97,0.97,3,3.7,491.4,0.491,60.0,60.0,0.3,0.571,0
M00678,V0449,T0250,0.0,0.62,5,32.78,0.344,0.52,5,1.0,1.0,0.68,0.68,3,3.9,182.8,0.183,4.0,4.0,0.02,0.452,0
M00679,V0116,T0268,0.0,0.5,5,11.88,0.762,0.24,5,1.0,0.5,0.56,0.56,1,4.8,339.0,0.339,80.0,80.0,0.4,0.361,0
M00680,V0375,T0186,0.5,0.91,20,19.54,0.609,0.84,2,0.4,1.0,0.7,0.7,2,4.2,81.9,0.082,24.0,24.0,0.12,0.64,1
M00681,V0436,T0254,0.0,0.4,10,10.5,0.79,0.9,5,1.0,1.0,0.64,0.64,4,4.2,353.4,0.353,4.0,4.0,0.02,0.525,0
M00682,V0494,T0222,0.25,0.57,25,26.21,0.476,0.18,5,1.0,1.0,0.74,0.74,2,4.2,426.3,0.426,16.0,16.0,0.08,0.483,0
M00683,V0327,T0054,0.5,0.83,40,17.69,0.646,0.3,1,0.2,1.0,0.57,0.57,5,4.2,216.1,0.216,80.0,80.0,0.4,0.625,1
M00684,V0144,T0142,0.25,0.48,15,28.5,0.43,0.7,4,0.8,1.0,0.72,0.72,3,3.6,3.4,0.003,5.0,5.0,0.025,0.552,0
M00685,V0328,T0261,0.0,0.71,30,17.32,0.654,0.1,2,0.4,1.0,0.93,0.93,4,4.3,243.3,0.243,45.0,45.0,0.225,0.388,0
